Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,327,…
Aizkraukles novads,301,…
Aizputes novads,313,…
Aknīstes novads,410,…
Alojas novads,95,…
Alsungas novads,14,…
Alūksnes novads,745,…
Amatas novads,247,…
Apes novads,183,…
Auces novads,161,…
Ādažu novads,929,…
Babītes novads,534,…
Baldones novads,253,…
Baltinavas novads,25,…
Balvu novads,808,…
Bauskas novads,863,…
Beverīnas novads,95,…
Brocēnu novads,195,…
Burtnieku novads,146,…
Carnikavas novads,346,…
Cesvaines novads,47,…
Cēsu novads,486,…
Ciblas novads,89,…
Dagdas novads,301,…
Daugavpils,7694,…
Daugavpils novads,1263,…
Dobeles novads,833,…
Dundagas novads,131,…
Durbes novads,41,…
Engures novads,502,…
Ērgļu novads,43,…
Garkalnes novads,489,…
Grobiņas novads,274,…
Gulbenes novads,1132,…
Iecavas novads,460,…
Ikšķiles novads,352,…
Ilūkstes novads,358,…
Inčukalna novads,292,…
Jaunjelgavas novads,121,…
Jaunpiebalgas novads,24,…
Jaunpils novads,70,…
Jelgava,3089,…
Jelgavas novads,1064,…
Jēkabpils,1578,…
Jēkabpils novads,235,…
Jūrmala,2305,…
Kandavas novads,137,…
Kārsavas novads,228,…
Kocēnu novads,168,…
Kokneses novads,198,…
Krāslavas novads,1000,…
Krimuldas novads,125,…
Krustpils novads,421,…
Kuldīgas novads,541,…
Ķeguma novads,173,…
Ķekavas novads,1270,…
Lielvārdes novads,298,…
Liepāja,2108,…
Limbažu novads,579,…
Līgatnes novads,94,…
Līvānu novads,722,…
Lubānas novads,125,…
Ludzas novads,562,…
Madonas novads,753,…
Mazsalacas novads,82,…
Mālpils novads,67,…
Mārupes novads,1036,…
Mērsraga novads,20,…
Naukšēnu novads,19,…
Neretas novads,152,…
Nīcas novads,78,…
Ogres novads,1267,…
Olaines novads,1166,…
Ozolnieku novads,420,…
Pārgaujas novads,64,…
Pāvilostas novads,32,…
Pļaviņu novads,120,…
Preiļu novads,671,…
Priekules novads,138,…
Priekuļu novads,249,…
Raunas novads,105,…
Rēzekne,2229,…
Rēzeknes novads,973,…
Riebiņu novads,224,…
Rīga,32962,…
Rojas novads,118,…
Ropažu novads,457,…
Rucavas novads,39,…
Rugāju novads,109,…
Rundāles novads,74,…
Rūjienas novads,123,…
Salacgrīvas novads,330,…
Salas novads,150,…
Salaspils novads,1125,…
Saldus novads,693,…
Saulkrastu novads,213,…
Sējas novads,62,…
Siguldas novads,523,…
Skrīveru novads,136,…
Skrundas novads,45,…
Smiltenes novads,421,…
Stopiņu novads,605,…
Strenču novads,176,…
Talsu novads,1206,…
Tērvetes novads,66,…
Tukuma novads,936,…
Vaiņodes novads,104,…
Valkas novads,346,…
Valmiera,877,…
Varakļānu novads,276,…
Vārkavas novads,77,…
Vecpiebalgas novads,171,…
Vecumnieku novads,245,…
Ventspils,1117,…
Ventspils novads,272,…
Viesītes novads,128,…
Viļakas novads,287,…
Viļānu novads,326,…
Zilupes novads,60,…
