,0,1,2,3,4,5,6,7,8
0,,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021,Casos COVID-19 en Chile 19 de marzo de 2021
1,,Casos confirmados acumulados,Casos nuevos  totales,Casos  nuevos con síntomas,Casos nuevos sin síntomas,Casos nuevos sin notificar  *,Casos activos confirmados  **,Fallecidos totales  ***,Casos confirmados recuperados *  ***
2,Arica y Parinacota,16.527,90,34,55,1,693,337,15.487
3,Tarapacá,26.868,149,102,44,3,877,485,25.503
4,Antofagasta,41.108,197,118,64,15,1.325,836,38.911
5,Atacama,13.352,95,41,54,0,555,165,12.638
6,Coquimbo,24.602,246,184,55,7,1.280,469,22.845
7,Valparaíso,58.222,598,383,113,102,3.378,1.749,53.064
8,RM,392.640,2.129,1.423,531,175,11.507,12.472,368.366
9,O’Higgins,34.718,310,222,83,5,1.774,836,32.109
10,Maule,48.703,373,213,156,4,2.263,934,45.506
11,Ñuble,19.307,218,160,58,0,895,381,18.037
12,Biobío,86.120,939,723,195,21,5.225,1.446,79.401
13,Araucanía,48.219,527,384,136,7,2.526,605,45.080
14,Los Ríos,24.273,369,239,126,4,1.879,274,22.128
15,Los Lagos,57.353,315,215,97,3,1.920,733,54.690
16,Aysén,3.314,9,7,2,0,75,26,3.216
17,Magallanes,22.680,40,34,5,1,261,338,22.069
18,Desconocida,47,0,0,0,0,0,1,47
19,Total,918.053,6.604,4.482,1.774,348,36.433,22.087,859.097
