Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,325,…
Aizkraukles novads,288,…
Aizputes novads,311,…
Aknīstes novads,406,…
Alojas novads,92,…
Alsungas novads,13,…
Alūksnes novads,722,…
Amatas novads,245,…
Apes novads,183,…
Auces novads,159,…
Ādažu novads,919,…
Babītes novads,521,…
Baldones novads,249,…
Baltinavas novads,22,…
Balvu novads,719,…
Bauskas novads,850,…
Beverīnas novads,95,…
Brocēnu novads,179,…
Burtnieku novads,142,…
Carnikavas novads,334,…
Cesvaines novads,47,…
Cēsu novads,481,…
Ciblas novads,86,…
Dagdas novads,289,…
Daugavpils,7572,…
Daugavpils novads,1237,…
Dobeles novads,818,…
Dundagas novads,129,…
Durbes novads,41,…
Engures novads,497,…
Ērgļu novads,40,…
Garkalnes novads,482,…
Grobiņas novads,262,…
Gulbenes novads,1061,…
Iecavas novads,458,…
Ikšķiles novads,341,…
Ilūkstes novads,357,…
Inčukalna novads,288,…
Jaunjelgavas novads,120,…
Jaunpiebalgas novads,25,…
Jaunpils novads,69,…
Jelgava,3019,…
Jelgavas novads,1035,…
Jēkabpils,1565,…
Jēkabpils novads,233,…
Jūrmala,2256,…
Kandavas novads,134,…
Kārsavas novads,226,…
Kocēnu novads,167,…
Kokneses novads,195,…
Krāslavas novads,970,…
Krimuldas novads,116,…
Krustpils novads,416,…
Kuldīgas novads,527,…
Ķeguma novads,169,…
Ķekavas novads,1238,…
Lielvārdes novads,288,…
Liepāja,2035,…
Limbažu novads,571,…
Līgatnes novads,91,…
Līvānu novads,706,…
Lubānas novads,121,…
Ludzas novads,528,…
Madonas novads,729,…
Mazsalacas novads,82,…
Mālpils novads,65,…
Mārupes novads,1021,…
Mērsraga novads,19,…
Naukšēnu novads,17,…
Neretas novads,145,…
Nīcas novads,78,…
Ogres novads,1239,…
Olaines novads,1135,…
Ozolnieku novads,408,…
Pārgaujas novads,62,…
Pāvilostas novads,31,…
Pļaviņu novads,120,…
Preiļu novads,653,…
Priekules novads,132,…
Priekuļu novads,246,…
Raunas novads,104,…
Rēzekne,2189,…
Rēzeknes novads,955,…
Riebiņu novads,215,…
Rīga,32304,…
Rojas novads,116,…
Ropažu novads,454,…
Rucavas novads,38,…
Rugāju novads,100,…
Rundāles novads,73,…
Rūjienas novads,119,…
Salacgrīvas novads,326,…
Salas novads,143,…
Salaspils novads,1068,…
Saldus novads,673,…
Saulkrastu novads,207,…
Sējas novads,60,…
Siguldas novads,505,…
Skrīveru novads,135,…
Skrundas novads,39,…
Smiltenes novads,405,…
Stopiņu novads,595,…
Strenču novads,174,…
Talsu novads,1187,…
Tērvetes novads,66,…
Tukuma novads,904,…
Vaiņodes novads,96,…
Valkas novads,344,…
Valmiera,856,…
Varakļānu novads,263,…
Vārkavas novads,77,…
Vecpiebalgas novads,173,…
Vecumnieku novads,239,…
Ventspils,1100,…
Ventspils novads,259,…
Viesītes novads,124,…
Viļakas novads,257,…
Viļānu novads,320,…
Zilupes novads,57,…
