Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,333,…
Aizkraukles novads,312,…
Aizputes novads,314,…
Aknīstes novads,416,…
Alojas novads,96,…
Alsungas novads,14,…
Alūksnes novads,781,…
Amatas novads,247,…
Apes novads,184,…
Auces novads,162,…
Ādažu novads,958,…
Babītes novads,543,…
Baldones novads,259,…
Baltinavas novads,26,…
Balvu novads,866,…
Bauskas novads,908,…
Beverīnas novads,96,…
Brocēnu novads,207,…
Burtnieku novads,148,…
Carnikavas novads,356,…
Cesvaines novads,48,…
Cēsu novads,494,…
Ciblas novads,96,…
Dagdas novads,311,…
Daugavpils,7857,…
Daugavpils novads,1297,…
Dobeles novads,866,…
Dundagas novads,133,…
Durbes novads,41,…
Engures novads,508,…
Ērgļu novads,55,…
Garkalnes novads,499,…
Grobiņas novads,281,…
Gulbenes novads,1184,…
Iecavas novads,463,…
Ikšķiles novads,357,…
Ilūkstes novads,367,…
Inčukalna novads,300,…
Jaunjelgavas novads,121,…
Jaunpiebalgas novads,24,…
Jaunpils novads,73,…
Jelgava,3198,…
Jelgavas novads,1110,…
Jēkabpils,1598,…
Jēkabpils novads,242,…
Jūrmala,2388,…
Kandavas novads,145,…
Kārsavas novads,229,…
Kocēnu novads,170,…
Kokneses novads,199,…
Krāslavas novads,1030,…
Krimuldas novads,138,…
Krustpils novads,424,…
Kuldīgas novads,585,…
Ķeguma novads,181,…
Ķekavas novads,1296,…
Lielvārdes novads,309,…
Liepāja,2172,…
Limbažu novads,598,…
Līgatnes novads,96,…
Līvānu novads,746,…
Lubānas novads,129,…
Ludzas novads,615,…
Madonas novads,776,…
Mazsalacas novads,83,…
Mālpils novads,73,…
Mārupes novads,1053,…
Mērsraga novads,22,…
Naukšēnu novads,22,…
Neretas novads,160,…
Nīcas novads,79,…
Ogres novads,1316,…
Olaines novads,1204,…
Ozolnieku novads,438,…
Pārgaujas novads,67,…
Pāvilostas novads,32,…
Pļaviņu novads,120,…
Preiļu novads,700,…
Priekules novads,144,…
Priekuļu novads,251,…
Raunas novads,106,…
Rēzekne,2284,…
Rēzeknes novads,997,…
Riebiņu novads,230,…
Rīga,33859,…
Rojas novads,122,…
Ropažu novads,463,…
Rucavas novads,39,…
Rugāju novads,113,…
Rundāles novads,78,…
Rūjienas novads,128,…
Salacgrīvas novads,333,…
Salas novads,153,…
Salaspils novads,1182,…
Saldus novads,720,…
Saulkrastu novads,219,…
Sējas novads,66,…
Siguldas novads,537,…
Skrīveru novads,139,…
Skrundas novads,50,…
Smiltenes novads,432,…
Stopiņu novads,624,…
Strenču novads,179,…
Talsu novads,1228,…
Tērvetes novads,71,…
Tukuma novads,978,…
Vaiņodes novads,106,…
Valkas novads,351,…
Valmiera,891,…
Varakļānu novads,288,…
Vārkavas novads,77,…
Vecpiebalgas novads,173,…
Vecumnieku novads,252,…
Ventspils,1142,…
Ventspils novads,278,…
Viesītes novads,130,…
Viļakas novads,301,…
Viļānu novads,350,…
Zilupes novads,63,…
