Region,Total cases,Recovered,Deaths,Active,Intensive care,Hospital treatment,Home isolated,Total tests
Berat,5603,5363,88,152,3,23,126,11509
Dibër,2409,2030,47,332,1,2,329,9934
Durrës,9625,7985,193,1447,2,69,1376,26322
Elbasan,7895,7231,219,445,1,30,414,16908
Fier,10558,7733,209,2616,5,43,2568,17447
Gjirokastër,4242,2979,50,1213,1,15,1197,11694
Korçe,5557,4697,98,762,0,4,758,14397
Kukës,2609,2228,33,348,0,0,348,11934
Lezhë,5698,4978,86,634,1,6,627,14580
Shkodër,6461,5096,112,1253,0,21,1232,18754
Tiranë,52771,29206,908,22657,8,125,22524,363424
Vlorë,8419,6971,113,1335,2,32,1301,15661
