Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,327,…
Aizkraukles novads,298,…
Aizputes novads,313,…
Aknīstes novads,410,…
Alojas novads,92,…
Alsungas novads,14,…
Alūksnes novads,739,…
Amatas novads,247,…
Apes novads,183,…
Auces novads,162,…
Ādažu novads,929,…
Babītes novads,531,…
Baldones novads,253,…
Baltinavas novads,25,…
Balvu novads,793,…
Bauskas novads,861,…
Beverīnas novads,95,…
Brocēnu novads,195,…
Burtnieku novads,147,…
Carnikavas novads,344,…
Cesvaines novads,47,…
Cēsu novads,485,…
Ciblas novads,89,…
Dagdas novads,293,…
Daugavpils,7682,…
Daugavpils novads,1262,…
Dobeles novads,831,…
Dundagas novads,131,…
Durbes novads,41,…
Engures novads,502,…
Ērgļu novads,42,…
Garkalnes novads,487,…
Grobiņas novads,272,…
Gulbenes novads,1125,…
Iecavas novads,459,…
Ikšķiles novads,352,…
Ilūkstes novads,358,…
Inčukalna novads,291,…
Jaunjelgavas novads,121,…
Jaunpiebalgas novads,24,…
Jaunpils novads,69,…
Jelgava,3080,…
Jelgavas novads,1061,…
Jēkabpils,1576,…
Jēkabpils novads,235,…
Jūrmala,2298,…
Kandavas novads,137,…
Kārsavas novads,228,…
Kocēnu novads,168,…
Kokneses novads,198,…
Krāslavas novads,995,…
Krimuldas novads,120,…
Krustpils novads,421,…
Kuldīgas novads,533,…
Ķeguma novads,173,…
Ķekavas novads,1268,…
Lielvārdes novads,297,…
Liepāja,2108,…
Limbažu novads,576,…
Līgatnes novads,93,…
Līvānu novads,716,…
Lubānas novads,122,…
Ludzas novads,560,…
Madonas novads,747,…
Mazsalacas novads,82,…
Mālpils novads,67,…
Mārupes novads,1035,…
Mērsraga novads,19,…
Naukšēnu novads,19,…
Neretas novads,151,…
Nīcas novads,78,…
Ogres novads,1265,…
Olaines novads,1159,…
Ozolnieku novads,419,…
Pārgaujas novads,63,…
Pāvilostas novads,32,…
Pļaviņu novads,120,…
Preiļu novads,669,…
Priekules novads,137,…
Priekuļu novads,248,…
Raunas novads,105,…
Rēzekne,2227,…
Rēzeknes novads,972,…
Riebiņu novads,223,…
Rīga,32858,…
Rojas novads,118,…
Ropažu novads,456,…
Rucavas novads,38,…
Rugāju novads,109,…
Rundāles novads,74,…
Rūjienas novads,123,…
Salacgrīvas novads,330,…
Salas novads,149,…
Salaspils novads,1120,…
Saldus novads,691,…
Saulkrastu novads,213,…
Sējas novads,62,…
Siguldas novads,521,…
Skrīveru novads,137,…
Skrundas novads,45,…
Smiltenes novads,421,…
Stopiņu novads,601,…
Strenču novads,175,…
Talsu novads,1203,…
Tērvetes novads,66,…
Tukuma novads,931,…
Vaiņodes novads,102,…
Valkas novads,345,…
Valmiera,870,…
Varakļānu novads,274,…
Vārkavas novads,77,…
Vecpiebalgas novads,171,…
Vecumnieku novads,243,…
Ventspils,1116,…
Ventspils novads,271,…
Viesītes novads,127,…
Viļakas novads,286,…
Viļānu novads,325,…
Zilupes novads,59,…
