REGION,Number_of_Cases
Greater Accra Region,48824
Ashanti Region,15018
Western Region,5495
Eastern Region,3957
Central Region,3119
Volta Region,2134
Northern Region,1482
Upper East Region,1246
Bono East Region,1245
Bono Region,1110
Western North Region,833
Ahafo Region,678
Upper West Region,444
Oti Region,353
North East Region,185
Savannah Region,97
