Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,324,…
Aizkraukles novads,286,…
Aizputes novads,311,…
Aknīstes novads,406,…
Alojas novads,93,…
Alsungas novads,13,…
Alūksnes novads,715,…
Amatas novads,245,…
Apes novads,183,…
Auces novads,159,…
Ādažu novads,918,…
Babītes novads,516,…
Baldones novads,243,…
Baltinavas novads,21,…
Balvu novads,700,…
Bauskas novads,848,…
Beverīnas novads,94,…
Brocēnu novads,177,…
Burtnieku novads,142,…
Carnikavas novads,330,…
Cesvaines novads,47,…
Cēsu novads,480,…
Ciblas novads,84,…
Dagdas novads,287,…
Daugavpils,7525,…
Daugavpils novads,1228,…
Dobeles novads,815,…
Dundagas novads,127,…
Durbes novads,41,…
Engures novads,496,…
Ērgļu novads,39,…
Garkalnes novads,481,…
Grobiņas novads,257,…
Gulbenes novads,1050,…
Iecavas novads,457,…
Ikšķiles novads,341,…
Ilūkstes novads,354,…
Inčukalna novads,287,…
Jaunjelgavas novads,120,…
Jaunpiebalgas novads,24,…
Jaunpils novads,68,…
Jelgava,2993,…
Jelgavas novads,1031,…
Jēkabpils,1563,…
Jēkabpils novads,233,…
Jūrmala,2244,…
Kandavas novads,131,…
Kārsavas novads,224,…
Kocēnu novads,166,…
Kokneses novads,194,…
Krāslavas novads,961,…
Krimuldas novads,114,…
Krustpils novads,416,…
Kuldīgas novads,510,…
Ķeguma novads,168,…
Ķekavas novads,1232,…
Lielvārdes novads,287,…
Liepāja,2006,…
Limbažu novads,569,…
Līgatnes novads,89,…
Līvānu novads,699,…
Lubānas novads,121,…
Ludzas novads,519,…
Madonas novads,725,…
Mazsalacas novads,82,…
Mālpils novads,66,…
Mārupes novads,1015,…
Mērsraga novads,19,…
Naukšēnu novads,17,…
Neretas novads,145,…
Nīcas novads,78,…
Ogres novads,1224,…
Olaines novads,1127,…
Ozolnieku novads,408,…
Pārgaujas novads,61,…
Pāvilostas novads,31,…
Pļaviņu novads,119,…
Preiļu novads,646,…
Priekules novads,132,…
Priekuļu novads,246,…
Raunas novads,104,…
Rēzekne,2172,…
Rēzeknes novads,949,…
Riebiņu novads,214,…
Rīga,32087,…
Rojas novads,115,…
Ropažu novads,454,…
Rucavas novads,38,…
Rugāju novads,100,…
Rundāles novads,73,…
Rūjienas novads,117,…
Salacgrīvas novads,327,…
Salas novads,143,…
Salaspils novads,1062,…
Saldus novads,658,…
Saulkrastu novads,207,…
Sējas novads,59,…
Siguldas novads,495,…
Skrīveru novads,135,…
Skrundas novads,41,…
Smiltenes novads,404,…
Stopiņu novads,591,…
Strenču novads,174,…
Talsu novads,1185,…
Tērvetes novads,66,…
Tukuma novads,897,…
Vaiņodes novads,96,…
Valkas novads,342,…
Valmiera,851,…
Varakļānu novads,263,…
Vārkavas novads,77,…
Vecpiebalgas novads,171,…
Vecumnieku novads,239,…
Ventspils,1097,…
Ventspils novads,258,…
Viesītes novads,124,…
Viļakas novads,249,…
Viļānu novads,316,…
Zilupes novads,57,…
