Region,Confirmed Cases,Active cases
Adrese nav norādīta,…,…
Aglonas novads,326,…
Aizkraukles novads,290,…
Aizputes novads,311,…
Aknīstes novads,407,…
Alojas novads,92,…
Alsungas novads,13,…
Alūksnes novads,729,…
Amatas novads,245,…
Apes novads,183,…
Auces novads,160,…
Ādažu novads,920,…
Babītes novads,522,…
Baldones novads,251,…
Baltinavas novads,23,…
Balvu novads,722,…
Bauskas novads,855,…
Beverīnas novads,95,…
Brocēnu novads,184,…
Burtnieku novads,144,…
Carnikavas novads,335,…
Cesvaines novads,47,…
Cēsu novads,482,…
Ciblas novads,88,…
Dagdas novads,293,…
Daugavpils,7627,…
Daugavpils novads,1244,…
Dobeles novads,826,…
Dundagas novads,128,…
Durbes novads,41,…
Engures novads,499,…
Ērgļu novads,40,…
Garkalnes novads,482,…
Grobiņas novads,268,…
Gulbenes novads,1076,…
Iecavas novads,458,…
Ikšķiles novads,344,…
Ilūkstes novads,356,…
Inčukalna novads,288,…
Jaunjelgavas novads,121,…
Jaunpiebalgas novads,24,…
Jaunpils novads,69,…
Jelgava,3040,…
Jelgavas novads,1042,…
Jēkabpils,1567,…
Jēkabpils novads,234,…
Jūrmala,2271,…
Kandavas novads,137,…
Kārsavas novads,228,…
Kocēnu novads,166,…
Kokneses novads,196,…
Krāslavas novads,982,…
Krimuldas novads,116,…
Krustpils novads,418,…
Kuldīgas novads,530,…
Ķeguma novads,170,…
Ķekavas novads,1246,…
Lielvārdes novads,295,…
Liepāja,2060,…
Limbažu novads,572,…
Līgatnes novads,92,…
Līvānu novads,708,…
Lubānas novads,121,…
Ludzas novads,537,…
Madonas novads,730,…
Mazsalacas novads,82,…
Mālpils novads,67,…
Mārupes novads,1024,…
Mērsraga novads,19,…
Naukšēnu novads,17,…
Neretas novads,147,…
Nīcas novads,78,…
Ogres novads,1247,…
Olaines novads,1142,…
Ozolnieku novads,412,…
Pārgaujas novads,63,…
Pāvilostas novads,31,…
Pļaviņu novads,120,…
Preiļu novads,657,…
Priekules novads,132,…
Priekuļu novads,247,…
Raunas novads,104,…
Rēzekne,2203,…
Rēzeknes novads,961,…
Riebiņu novads,221,…
Rīga,32511,…
Rojas novads,116,…
Ropažu novads,455,…
Rucavas novads,38,…
Rugāju novads,105,…
Rundāles novads,74,…
Rūjienas novads,121,…
Salacgrīvas novads,328,…
Salas novads,146,…
Salaspils novads,1084,…
Saldus novads,684,…
Saulkrastu novads,209,…
Sējas novads,61,…
Siguldas novads,513,…
Skrīveru novads,135,…
Skrundas novads,44,…
Smiltenes novads,414,…
Stopiņu novads,595,…
Strenču novads,174,…
Talsu novads,1195,…
Tērvetes novads,66,…
Tukuma novads,917,…
Vaiņodes novads,96,…
Valkas novads,344,…
Valmiera,864,…
Varakļānu novads,270,…
Vārkavas novads,77,…
Vecpiebalgas novads,171,…
Vecumnieku novads,240,…
Ventspils,1109,…
Ventspils novads,263,…
Viesītes novads,126,…
Viļakas novads,261,…
Viļānu novads,322,…
Zilupes novads,57,…
